x,p_initial,p_final
9.020000,-1.0294278279e-07,4.4610324788e-07
9.040000,-8.1276982516e-08,2.4093802956e-07
9.060000,-6.3290836194e-08,1.1746712122e-07
9.080000,-4.8642189329e-08,4.8228210428e-08
9.100000,-3.6912209661e-08,1.3647527565e-08
9.120000,-2.7663157199e-08,1.1442942225e-10
9.140000,-2.0474360513e-08,-1.5719886401e-09
9.160000,-1.4962705347e-08,2.5912114234e-09
9.180000,-1.0792455662e-08,8.8798321471e-09
9.200000,-7.6780158797e-09,1.5136608693e-08
9.220000,-5.3822748787e-09,2.0253350996e-08
9.240000,-3.7124136604e-09,2.3790399905e-08
9.260000,-2.5144762091e-09,2.5711785164e-08
9.280000,-1.6675655393e-09,2.6202264976e-08
9.300000,-1.0782059580e-09,2.5544984572e-08
9.320000,-6.7518338903e-10,2.4049473729e-08
9.340000,-4.0501714437e-10,2.2002464516e-08
9.360000,-2.2811133824e-10,1.9652100309e-08
9.380000,-1.1556809383e-10,1.7192147376e-08
9.400000,-4.6606616489e-11,1.4770239192e-08
9.420000,-6.5134691586e-12,1.2484898220e-08
9.440000,1.4956529345e-11,1.0400672686e-08
9.460000,2.4807243546e-11,8.5487062391e-09
9.480000,2.7727725473e-11,6.9408968580e-09
9.500000,2.6781025664e-11,5.5706466351e-09
9.520000,2.3908375062e-11,4.4233177882e-09
9.540000,2.0292405057e-11,3.4763983213e-09
9.560000,1.6614511192e-11,2.7060476327e-09
9.580000,1.3234005448e-11,2.0868243767e-09
9.600000,1.0310418935e-11,1.5951257532e-09
9.620000,7.8851705232e-12,1.2087899964e-09
9.640000,5.9347008298e-12,9.0844965601e-10
9.660000,4.4039477371e-12,6.7722393659e-10
9.680000,3.2265641019e-12,5.0086082969e-10
9.700000,2.3364117481e-12,3.6759835332e-10
9.720000,1.6734832585e-12,2.6771748274e-10
9.740000,1.1863970432e-12,1.9355971679e-10
9.760000,8.3289224799e-13,1.3887678888e-10
9.780000,5.7924600216e-13,9.8953605080e-11
9.800000,3.9918923714e-13,6.9963639107e-11
9.820000,2.7266480842e-13,4.9142734647e-11
