x,psi_1,psi_2,psi_3,psi_4,psi_5
3.8300000000e+01,1.4060913371e-01,-1.9762747165e-01,1.3715815297e-01,4.8503861694e-03,-1.4397541676e-01
3.8400000000e+01,1.3975424859e-01,-1.9764235376e-01,1.3975424859e-01,-2.7847072409e-16,-1.3975424859e-01
3.8500000000e+01,1.3889410181e-01,-1.9762747165e-01,1.4230299039e-01,-4.8503861694e-03,-1.3540154862e-01
3.8600000000e+01,1.3802872574e-01,-1.9758282758e-01,1.4480351475e-01,-9.6978506476e-03,-1.3092141345e-01
3.8700000000e+01,1.3715815297e-01,-1.9750842826e-01,1.4725497440e-01,-1.4539473503e-02,-1.2631805963e-01
3.8800000000e+01,1.3628241628e-01,-1.9740428489e-01,1.4965653871e-01,-1.9372338324e-02,-1.2159581967e-01
3.8900000000e+01,1.3540154862e-01,-1.9727041316e-01,1.5200739394e-01,-2.4193533972e-02,-1.1675913798e-01
3.9000000000e+01,1.3451558318e-01,-1.9710683324e-01,1.5430674352e-01,-2.9000156340e-02,-1.1181256668e-01
3.9100000000e+01,1.3362455329e-01,-1.9691356975e-01,1.5655380837e-01,-3.3789310098e-02,-1.0676076130e-01
3.9200000000e+01,1.3272849252e-01,-1.9669065181e-01,1.5874782708e-01,-3.8558110439e-02,-1.0160847644e-01
3.9300000000e+01,1.3182743460e-01,-1.9643811297e-01,1.6088805625e-01,-4.3303684816e-02,-9.6360561228e-02
3.9400000000e+01,1.3092141345e-01,-1.9615599128e-01,1.6297377069e-01,-4.8023174673e-02,-9.1021954832e-02
3.9500000000e+01,1.3001046318e-01,-1.9584432921e-01,1.6500426368e-01,-5.2713737165e-02,-8.5597681757e-02
3.9600000000e+01,1.2909461809e-01,-1.9550317371e-01,1.6697884722e-01,-5.7372546873e-02,-8.0092847141e-02
3.9700000000e+01,1.2817391267e-01,-1.9513257616e-01,1.6889685225e-01,-6.1996797504e-02,-7.4512631940e-02
3.9800000000e+01,1.2724838156e-01,-1.9473259235e-01,1.7075762887e-01,-6.6583703582e-02,-6.8862288059e-02
3.9900000000e+01,1.2631805963e-01,-1.9430328253e-01,1.7256054659e-01,-7.1130502128e-02,-6.3147133402e-02
4.0000000000e+01,1.2538298189e-01,-1.9384471135e-01,1.7430499452e-01,-7.5634454318e-02,-5.7372546873e-02
4.0100000000e+01,1.2444318356e-01,-1.9335694787e-01,1.7599038157e-01,-8.0092847141e-02,-5.1543963312e-02
4.0200000000e+01,1.2349870001e-01,-1.9284006555e-01,1.7761613666e-01,-8.4502995028e-02,-4.5666868376e-02
4.0300000000e+01,1.2254956680e-01,-1.9229414222e-01,1.7918170895e-01,-8.8862241470e-02,-3.9746793382e-02
4.0400000000e+01,1.2159581967e-01,-1.9171926010e-01,1.8068656795e-01,-9.3167960621e-02,-3.3789310098e-02
4.0500000000e+01,1.2063749453e-01,-1.9111550577e-01,1.8213020376e-01,-9.7417558877e-02,-2.7800025498e-02
4.0600000000e+01,1.1967462745e-01,-1.9048297014e-01,1.8351212723e-01,-1.0160847644e-01,-2.1784576486e-02
