t,projection
2.80500000,3.9255142211e-01
2.80750000,4.0740404756e-01
2.81000000,4.2124622649e-01
2.81250000,4.3404362741e-01
2.81500000,4.4576451012e-01
2.81750000,4.5637980440e-01
2.82000000,4.6586318211e-01
2.82250000,4.7419112252e-01
2.82500000,4.8134297060e-01
2.82750000,4.8730098828e-01
2.83000000,4.9205039846e-01
2.83250000,4.9557942160e-01
2.83500000,4.9787930499e-01
2.83750000,4.9894434445e-01
2.84000000,4.9877189846e-01
2.84250000,4.9736239472e-01
2.84500000,4.9471932910e-01
2.84750000,4.9084925693e-01
2.85000000,4.8576177682e-01
2.85250000,4.7946950675e-01
2.85500000,4.7198805287e-01
2.85750000,4.6333597073e-01
2.86000000,4.5353471930e-01
2.86250000,4.4260860770e-01
2.86500000,4.3058473496e-01
2.86750000,4.1749292277e-01
2.87000000,4.0336564156e-01
2.87250000,3.8823792990e-01
2.87500000,3.7214730765e-01
2.87750000,3.5513368291e-01
2.88000000,3.3723925298e-01
2.88250000,3.1850839976e-01
2.88500000,2.9898757965e-01
2.88750000,2.7872520834e-01
2.89000000,2.5777154070e-01
2.89250000,2.3617854619e-01
2.89500000,2.1399977990e-01
2.89750000,1.9129024977e-01
2.90000000,1.6810628016e-01
2.90250000,1.4450537210e-01
2.90500000,1.2054606076e-01
2.90750000,9.6287770177e-02
2.91000000,7.1790665959e-02
2.91250000,4.7115506001e-02
2.91500000,2.2323489817e-02
2.91750000,-2.5238932510e-03
2.92000000,-2.7365016541e-02
2.92250000,-5.2138268914e-02
2.92500000,-7.6782207568e-02
2.92750000,-1.0123571042e-01
2.93000000,-1.2543812772e-01
2.93250000,-1.4932943245e-01
2.93500000,-1.7285036921e-01
2.93750000,-1.9594260121e-01
2.94000000,-2.1854885492e-01
2.94250000,-2.4061306215e-01
2.94500000,-2.6208049908e-01
2.94750000,-2.8289792203e-01
2.95000000,-3.0301369945e-01
2.95250000,-3.2237794006e-01
2.95500000,-3.4094261652e-01
2.95750000,-3.5866168458e-01
2.96000000,-3.7549119728e-01
2.96250000,-3.9138941393e-01
2.96500000,-4.0631690367e-01
2.96750000,-4.2023664323e-01
2.97000000,-4.3311410875e-01
2.97250000,-4.4491736146e-01
2.97500000,-4.5561712684e-01
2.97750000,-4.6518686726e-01
2.98000000,-4.7360284777e-01
2.98250000,-4.8084419499e-01
2.98500000,-4.8689294889e-01
2.98750000,-4.9173410730e-01
2.99000000,-4.9535566314e-01
2.99250000,-4.9774863421e-01
2.99500000,-4.9890708543e-01
2.99750000,-4.9882814362e-01
3.00000000,-4.9751200455e-01
3.00250000,-4.9496193253e-01
3.00500000,-4.9118425227e-01
3.00750000,-4.8618833320e-01
3.01000000,-4.7998656623e-01
3.01250000,-4.7259433303e-01
3.01500000,-4.6402996788e-01
3.01750000,-4.5431471216e-01
3.02000000,-4.4347266174e-01
3.02250000,-4.3153070715e-01
3.02500000,-4.1851846691e-01
3.02750000,-4.0446821407e-01
3.03000000,-3.8941479618e-01
3.03250000,-3.7339554883e-01
3.03500000,-3.5645020308e-01
3.03750000,-3.3862078691e-01
3.04000000,-3.1995152095e-01
3.04250000,-3.0048870887e-01
3.04500000,-2.8028062247e-01
3.04750000,-2.5937738200e-01
3.05000000,-2.3783083184e-01
3.05250000,-2.1569441188e-01
3.05500000,-1.9302302505e-01
3.05750000,-1.6987290109e-01
3.06000000,-1.4630145710e-01
3.06250000,-1.2236715515e-01
3.06500000,-9.8129357286e-02
3.06750000,-7.3648178262e-02
3.07000000,-4.8984336483e-02
3.07250000,-2.4199003389e-02
3.07500000,6.4634825082e-04
3.07750000,2.5490096813e-02
3.08000000,5.0270624649e-02
3.08250000,7.4926470911e-02
3.08500000,9.9396483985e-02
3.08750000,1.2361997316e-01
3.09000000,1.4753685917e-01
3.09250000,1.7108782317e-01
3.09500000,1.9421445389e-01
3.09750000,2.1685939248e-01
3.10000000,2.3896647481e-01
3.10250000,2.6048087072e-01
3.10500000,2.8134922004e-01
3.10750000,3.0151976496e-01
3.11000000,3.2094247832e-01
3.11250000,3.3956918777e-01
3.11500000,3.5735369522e-01
3.11750000,3.7425189139e-01
3.12000000,3.9022186525e-01
3.12250000,4.0522400796e-01
3.12500000,4.1922111109e-01
3.12750000,4.3217845892e-01
3.13000000,4.4406391454e-01
3.13250000,4.5484799956e-01
3.13500000,4.6450396721e-01
3.13750000,4.7300786869e-01
3.14000000,4.8033861256e-01
3.14250000,4.8647801704e-01
3.14500000,4.9141085516e-01
3.14750000,4.9512489244e-01
